code;name;country
16068372;Unterliga West (St);Austria
16068373;Unterliga South (St);Austria
16068374;Unterliga East (St);Austria
16068375;Unterliga North A (St);Austria
16068376;Unterliga North B (St);Austria
16068377;Gebietsliga Central (St);Austria
16068378;Gebietsliga West (St);Austria
16068379;Gebietsliga South (St);Austria
16068380;Gebietsliga East (St);Austria
16068381;Gebietsliga Enns (St);Austria
16068382;Gebietsliga Mur (St);Austria
16068383;Gebietsliga Mürz (St);Austria
16068384;1. Klasse Central A (St);Austria
16068385;1. Klasse Central B (St);Austria
16068390;1. Klasse East A (St);Austria
16068391;1. Klasse East B (St);Austria
16068392;1. Klasse Enns (St);Austria
16068393;1. Klasse Mur/Mürz A (St);Austria
16068394;1. Klasse Mur/Mürz B (St);Austria
16068395;1. Klasse North (B);Austria
16068396;1. Klasse Central (B);Austria
16068399;2. Klasse North (B);Austria
16068400;2. Klasse Central (B);Austria
16068401;2. Klasse South A (B);Austria
16068402;2. Klasse South B (B);Austria
16068419;Youth Academy League;Austria
16069670;5. Landesklasse Oberland;Austria
16069671;2. Liga North/East (OÖ);Austria
16069672;2. Liga West/North (OÖ);Austria
16082228;2. Klasse Weinviertel N;Austria
16082229;2. Klasse Marchfeld (NÖ);Austria
16089909;2. Klasse Weinviertel S;Austria
16126204;2. Klasse Zillertal (T);Austria
16126205;2. Klasse Central (T);Austria
16129522;1. Klasse South (B);Austria
16154765;2. Landesliga Wien;Austria
16154861;Oberliga A (W);Austria
16154862;Oberliga B (W);Austria
16154863;1. Klasse A (W);Austria
16154864;1. Klasse B (W);Austria
16182815;Austrian 1. Klasse West;Austria
16192449;Austrian Youth Teams;Austria
16233996;NWL Vbg Gr.1;Austria
16233997;NWL Vbg Gr.2;Austria
16234004;Youth League OÖ;Austria
16234008;Youth League NÖ;Austria
16234197;Unterliga East Reserve;Austria
16234207;1.Klasse A Reserve;Austria
16234208;1. Klasse B Reserve;Austria
16234291;Youth League Tirol;Austria
16234668;Future League;Austria
16234717;Youth Competition;Austria
16234739;Reserve League Tirol G3;Austria
16235036;1B Central (ST);Austria
16235037;1B GL East (ST);Austria
16251692;2. Klasse Pulkau/Schmida;Austria
16277559;1. Klasse South (ST);Austria
16302523;Eliteleagu Vorarlberg;Austria
16302524;Regional Division Tyrol;Austria
16302525;Regional Div. Salzburg;Austria
16325006;2. Klasse (W);Austria
16325692;Bezirksklasse Weinviertel;Austria
18097860;Second Division A;Belgium
18097862;Second Division B;Belgium
18097863;Second Division C;Belgium
18097864;Third Division A;Belgium
18097865;Third Division B;Belgium
18097866;Third Division C;Belgium
18097867;Third Division D;Belgium
18111376;Brabant Provincial (Fla);Belgium
19102111;Lower Division;Brazil
19127222;Fourth Division;Brazil
19166136;Lower Division;Venezuela
19166141;Lower Division;Bolivia
19166492;National League;Cuba
19166493;Lower Division;Cuba
20016870;South Atlantic Division;United States
