code;value
;Alli
;Allievi
;Allione
;Allison
;Alloco
;Allosa
;Allsop
;Allyson
;Almada
;Almagro
;Almaguer
;Almandoz
;Almanza
;Almasana
;Almenara
;Almendra
;Almici
;Almir
;Almirón
;Al-Muntashri
;Alnwick
;Aloé
;Aloi
;Aloísio
;Alomar
;Alonso del Conte
;Alonso
;Alo'o
;Alouache
;Alphonse
;Alpsoy
;Alram
;Alsan
;Al-Shalhoob
;Alshin
;Alsina
;Al-Soma
;Alston
;Alsu
;Al'sultanov
;Altair
;Altama
;Altamira
;Altamiranda
;Altamirano
;Altan
;Altare
;Altemar
;Altidore
;Altin
;Altinay
;Altindag
;Altinier
;Altinsoy
;Altintas
;Altiparmak
;Altobelli
;Altobello
;Altolaguirre
;Altuna
;Altundag
;Alukaev
;Aluko
;Alumona
;Alustiza
;Alva
;Alvacete
;Alvaradejo
;Alvarado
;Alvarenga
;Álvarez Balanta
;Álvarez López
;Álvarez Morinigo
;Álvarez Suárez
;Alvarez
;Alvarinho
;Álvaro
;Alves de Araújo
;Alvinho
;Alvir
;Aly
;Alyson
;Alysson
;Alzaa
;Alzate
;Alzueta
;Alzugaray
;Amachaibou
;Amade
;Amadeu
;Amadio
;Amador
;Amadou
;Amagat
;Amakodo
;Amalfitano
;Amallah
;Amamoo
;Aman
;Amang
;Amankona
;Amantini
;Amar
;Amarikwa
;Amarildo
;Amarilla
;Amartey
;Amat
;Amatkariyo
;Amauri
;Amavi
;Amaya
;Ambartsumyan
;Ambourouet
;Ambri
;Ambro
;Ambrogio
;Ambrose
;Ambrosius
;Amelibia
;Ameltonis
;Amenga
;Amenyido
;Ameobi
;Américo
;Amevor
;Amian
;Amicarelli
;Amici
;Amick
;Amico
;Amicuzi
;Amidi
;Amiens
;Amieux
;Amieva
;Amílcar
;Amilivia
;Amilton
;Amin
;Amione
;Amiot
;Amiri
;Ammari
;Ammirati
;Ammour
;Amnah
;Amo
;Amoah
;Amofa
;Amon
;Amond
;Amoo
;Amor
;Amores
;Amoros
;Amoroso
;Amorrortu
;Amos
;Ampomah
;Amrabat
;Amri
;Amrioui
;Amuzu
;An
;Anacoura
;Anani
;Anania
;Ananou
;Añasgo
;Anastasi
;Anastasio
;Ancelmo
;Ancheta
;Anchoverri
;Ancurovski
;Andacic
;Andereggen
;Andermatt
;Andersen
;Cavalo
;Dim
;Lessa
;Ligeiro
;Manga
;Pico
;Preto
;Uchoa
;Zangão
;Andersson
;Anderton
;Andjelkovic
;Andone
;Andonian
;Andrada
;Baumer
;Beleza
;Cassaco
;Clovis
;Krobel
;Mensalão
;Moritz
;Penalva
;Ramalho
;Andreani
;Andreas
;Andreev
;Andrei
;Andrelino
;Andrenacci
;Andreoli
;Andreolli
;Andreoni
;Andrés
;Andreu
;Andrew
;Andrews
;Andrey
;Andrezinho
;Andrézinho
;Andric
;Andrich
;Andrievskyi
;Andrigo
;Andrijasevic
;Andrist
;Andriu
;Andruszyszyn
;Andújar
;Andy
;Andzouana
;Aneke
;Anel
;Anelli
;Anene
;Anet
;Angani
;Angaroni
;Angban
;Angeleri
;Angeliño
;Angella
;Angeloff
;Angelotti
;Angevine
;Angha
;Anghileri
;Angileri
;Angiuli
;Angiulli
;Angoitia
;Angol
;Angulo
;Anibaba
;Anibal
;Anic
;Anier
;Anisimov
;Anita
;Anívole
;Ankersen
;Ankoué
;Annone
;Annunziata
;Annys
;Anocic
;Añón
;Anríquez
;Ansaldi
;Anselmo
;Anta
;Antalyali
;Antanasijevic
;Antas
;Antei
;Antenucci
;Anteplioglu
;Antezza
;Anthony
;Antic
;Antipov
;Antognelli
;Antoinat
;Antoine
;Antolic
;Antolovic
;Antón
;Anton
;Antonelli
;Antonia
;Antoniazzi
;Antonicelli
;Antonini
;Antonino
;Jesús
;Puertas
;António
;Antoñito
;Antonitsch
;Antonov
;Antonucci
;Antukh
;Antuna
;Antunes
;Antúnes
;Antúnez
;Antunovic
;Antwi
;Anuar
;Anunga
;Anya
;Anyukov
;Anzolin
;Anzorena
;Aogo
;Aosman
;Aouacheria
;Aouar
;Aoulad
;Aouladzian
;Aparicio
;Aparício
;Apau
;Apaza
;Apesteguia
;Aplin
;Appaev
;Appéré
;Appiah
;Appin
;Appindangoyé
;Aprile
;Aquaro
;Aquilanti
;Araai
;Arab
;Araba
;Arabidze
;Aracena
;Arach
;Aragón
;Araldo
;Aralica
;Arambarri
;Aramini
;Aramu
;Arancibia
;Arango
;Aránguiz
;Aransibia
;Arantes
;Arantzabe
;Araos
;Arap
;Arapov
;Aras
;Arasa
;Aratore
;Araujo
;Aravin
;Araya
;Araz
;Arbelo
;Arbilla
;Arbiso
;Arboleda
;Arcaleni
;Arcas
;Arce
;Arcega
;Archer
;Archibald
;Archuby
;Arcidiacono
;Arciero
;Arco
;Arcon
;Ardaiz
;Ardanaz
;Ardemagni
;Ardente
;Ardetti
;Ardizzone
;Areal
;Areco
;Arego
;Areitio
;Arellano
;Arena
;Arenas
;Arenate
;Arencibia
;Arends
;Arenoso
;Areola
;Ares
;Aresti
;Arezina
;Arfield
;Argañaraz
;Argelier
;Argent-Barnes
;Argento
;Arghus
;Argomenti
;Argüelles
;Argüello
;Argueta
;Arguez
;Arguiñarena
;Argumosa
;Ari
;Arias Navarro
;Arias
;Ariaudo
;Arib
;Aribo
;Arica
;Arici
;Aridai
;Aridane
;Ariel
;Arigoni
;Arikan
;Arimany
;Arini
;Arisi
;Arismendi
;Aristeguieta
;Aritto
;Ariyibi
;Ariza
;Arizala
;Arjona
;Arkaitz
;Arkenberg
;Arkhipov
;Arlan
;Arlen
;Arlindo
;Arma
;Arman
;Armand
;Armando
;Armani
;Armellino
;Armeno
;Armenteros
;Armero
;Armiche
;Armougom
;Armstrong
;Arnaboldi
;Arnáez
;Arnáiz
;Arnaldo
;Árnason
